Received_Date,Feedback,Display_fb,Overall_fb_pos,Overall_fb_neu,Overall_fb_neg,Overall_fb_comp,Overall_fb,General_food_comp,General_food_fb,Pizza_comp,Pizza_fb,Sausage_comp,Sausage_fb,Egg_comp,Egg_fb,Environment_comp,Environment_fb,Service_comp,Service_fb,Price_comp,Price_fb,Facilities_comp,Facilities_fb
01/07/2022,The food was good.,"""The food was good.""",0.492,0.508,0.0,0.4404,Positive,0.4404,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
01/07/2022,The food was bad,"""The food was bad""",0.0,0.462,0.538,-0.5423,Negative,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
01/07/2022,The pizza was great,"""The pizza was great""",0.577,0.423,0.0,0.6249,Positive,0.0,Neutral,0.6249,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
02/07/2022,The sausage was good but the egg was bad.,"""The sausage was good but the egg was bad.""",0.142,0.511,0.347,-0.5859,Negative,0.0,Neutral,0.0,Neutral,0.4404,Positive,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
04/07/2022,The potato was really bad. The room was too loud.,"""The potato was really bad. The room was too loud.""",0.0,0.704,0.296,-0.5849,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
04/07/2022,The pizza was bad.,"""The pizza was bad.""",0.0,0.462,0.538,-0.5423,Negative,0.0,Neutral,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,The pizza was ok. The sausage was bad.,"""The pizza was ok. The sausage was bad.""",0.0,0.667,0.333,-0.5423,Negative,0.0,Neutral,0.296,Positive,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,It was too quiet.,"""It was too quiet.""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,I didn't like the colour of the walls.,"""I didn't like the colour of the walls.""",0.0,0.768,0.232,-0.2755,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,The person next to me was rude but the food was good.,"""The person next to me was rude but the food was good.""",0.243,0.631,0.126,0.431,Positive,0.4404,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,I hate the food. It was bloody awful.,"""I hate the food. It was bloody awful.""",0.0,0.342,0.658,-0.8625,Negative,-0.5719,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
